"spec_id","instrument","role","resolution","data","covariance_model","criterion"
"S001","HEXACO","robustness","domain","null","EII","BIC"
"S002","HEXACO","robustness","domain","null","VII","BIC"
"S003","HEXACO","robustness","domain","null","EEI","BIC"
"S004","HEXACO","robustness","domain","null","VEI","BIC"
"S005","HEXACO","robustness","domain","null","EVI","BIC"
"S006","HEXACO","robustness","domain","null","VVI","BIC"
"S007","HEXACO","robustness","domain","null","EEE","BIC"
"S008","HEXACO","robustness","domain","null","EVE","BIC"
"S009","HEXACO","robustness","domain","null","VEE","BIC"
"S010","HEXACO","robustness","domain","null","VVE","BIC"
"S011","HEXACO","robustness","domain","null","EEV","BIC"
"S012","HEXACO","robustness","domain","null","VEV","BIC"
"S013","HEXACO","robustness","domain","null","EVV","BIC"
"S014","HEXACO","robustness","domain","null","VVV","BIC"
"S015","HEXACO","robustness","domain","null","EII","ICL"
"S016","HEXACO","robustness","domain","null","VII","ICL"
"S017","HEXACO","robustness","domain","null","EEI","ICL"
"S018","HEXACO","robustness","domain","null","VEI","ICL"
"S019","HEXACO","robustness","domain","null","EVI","ICL"
"S020","HEXACO","robustness","domain","null","VVI","ICL"
"S021","HEXACO","robustness","domain","null","EEE","ICL"
"S022","HEXACO","robustness","domain","null","EVE","ICL"
"S023","HEXACO","robustness","domain","null","VEE","ICL"
"S024","HEXACO","robustness","domain","null","VVE","ICL"
"S025","HEXACO","robustness","domain","null","EEV","ICL"
"S026","HEXACO","robustness","domain","null","VEV","ICL"
"S027","HEXACO","robustness","domain","null","EVV","ICL"
"S028","HEXACO","robustness","domain","null","VVV","ICL"
"S029","HEXACO","robustness","domain","real","EII","BIC"
"S030","HEXACO","robustness","domain","real","VII","BIC"
"S031","HEXACO","robustness","domain","real","EEI","BIC"
"S032","HEXACO","robustness","domain","real","VEI","BIC"
"S033","HEXACO","robustness","domain","real","EVI","BIC"
"S034","HEXACO","robustness","domain","real","VVI","BIC"
"S035","HEXACO","robustness","domain","real","EEE","BIC"
"S036","HEXACO","robustness","domain","real","EVE","BIC"
"S037","HEXACO","robustness","domain","real","VEE","BIC"
"S038","HEXACO","robustness","domain","real","VVE","BIC"
"S039","HEXACO","robustness","domain","real","EEV","BIC"
"S040","HEXACO","robustness","domain","real","VEV","BIC"
"S041","HEXACO","robustness","domain","real","EVV","BIC"
"S042","HEXACO","robustness","domain","real","VVV","BIC"
"S043","HEXACO","robustness","domain","real","EII","ICL"
"S044","HEXACO","robustness","domain","real","VII","ICL"
"S045","HEXACO","robustness","domain","real","EEI","ICL"
"S046","HEXACO","robustness","domain","real","VEI","ICL"
"S047","HEXACO","robustness","domain","real","EVI","ICL"
"S048","HEXACO","robustness","domain","real","VVI","ICL"
"S049","HEXACO","robustness","domain","real","EEE","ICL"
"S050","HEXACO","robustness","domain","real","EVE","ICL"
"S051","HEXACO","robustness","domain","real","VEE","ICL"
"S052","HEXACO","robustness","domain","real","VVE","ICL"
"S053","HEXACO","robustness","domain","real","EEV","ICL"
"S054","HEXACO","robustness","domain","real","VEV","ICL"
"S055","HEXACO","robustness","domain","real","EVV","ICL"
"S056","HEXACO","robustness","domain","real","VVV","ICL"
"S057","HEXACO","robustness","facet","null","EII","BIC"
"S058","HEXACO","robustness","facet","null","VII","BIC"
"S059","HEXACO","robustness","facet","null","EEI","BIC"
"S060","HEXACO","robustness","facet","null","VEI","BIC"
"S061","HEXACO","robustness","facet","null","EVI","BIC"
"S062","HEXACO","robustness","facet","null","VVI","BIC"
"S063","HEXACO","robustness","facet","null","EEE","BIC"
"S064","HEXACO","robustness","facet","null","EVE","BIC"
"S065","HEXACO","robustness","facet","null","VEE","BIC"
"S066","HEXACO","robustness","facet","null","VVE","BIC"
"S067","HEXACO","robustness","facet","null","EEV","BIC"
